ID,말씀ID,용어,정의
SP1V001,SP1-001,구주,죄와 사망에서 우리를 구원하실 분
SP1V002,SP1-005,율법,하나님의 계명에서 정한 규칙
SP1V003,SP1-005,범하다,불순종하다
SP1V004,SP1-006,구원받다,내가 지은 죄에 대한 벌을 받지 않고 용서받다
SP1V005,SP1-007,세상,모든 사람
SP1V006,SP1-007,독생자,하나밖에 없는 아들
SP1V007,SP1-007,멸망,하나님으로부터 영원히 분리됨
SP1V008,SP1-007,영생,영원한 생명
SP1V009,SP1-008,이것을 기록함은,성경을 쓰는 이유는
SP1V010,SP1-011,창조,아무것도 없는 것에서 무엇인가를 만들어내다
SP1V011,SP1-013,거룩하게,하나님께 쓰임 받도록 죄에서 멀어지게
SP1V012,SP1-014,세세토록,영원토록
SP1V013,SP1-016,죄,하나님께 불순종함
SP1V014,SP1-016,영광,하나님의 완전한 선하심
SP1V015,SP1-021,담대하라,두려움 없이 옳은 일을 선택하고 용기를 가져라
SP1V016,SP1-022,청종하라,듣고 순종하다
SP1V017,SP1-024,담대하라,두려움 없이 옳은 일을 선택하고 용기를 가져라
SP1V018,SP1-025,청종하라,듣고 순종하다
