ID,말씀ID,용어,정의
SP2V001,SP2-001,구주,죄와 사망에서 우리를 구원하실 분
SP2V002,SP2-005,율법,하나님의 계명에서 정한 규칙
SP2V003,SP2-005,범하다,불순종하다
SP2V004,SP2-006,구원받다,내가 지은 죄에 대한 벌을 받지 않고 용서받다
SP2V005,SP2-007,세상,모든 사람
SP2V006,SP2-007,독생자,하나 밖에 없는 아들
SP2V007,SP2-007,멸망,하나님으로부터 영원히 분리됨
SP2V008,SP2-007,영생,영원한 생명
SP2V009,SP2-010,죄,그릇된 행동이나 말이나 생각으로 하나님께 불순종하는 것
SP2V010,SP2-010,삯,자기가 하는 일을 통해 얻는 것(월급처럼)
SP2V011,SP2-010,사망,이 땅에 사는 동안 하나님과 떨어져 있다가 나중에는 지옥에서 영원히 떨어져 지내는 것
SP2V012,SP2-010,영생,"이 땅에 사는 동안 하나님과 함께 있다가 나중에는 하나님의 나라, 천국에서 영원히 함께 지내는 것"
SP2V013,SP2-013,육체,사람
SP2V014,SP2-014,거룩하다,죄가 없다. 하나님이 원하시는 일을 하다
SP2V015,SP2-016,내게 부족함이 없으리로다,내게 필요한 것이 다 있다
SP2V016,SP2-017,소생시키다,새롭게 하다
SP2V017,SP2-017,의의 길,하나님이 올바르다고 하신 일을 하는 것
SP2V018,SP2-018,해를 두려워하지 않다,겁내지 않다
SP2V019,SP2-018,지팡이와 막대기,하나님이 나를 돌보시고 지키심을 기억나게 하는 것
SP2V020,SP2-022,복음(기쁜 소식),예수 그리스도에 대한 기쁜 소식(예수님이 우리 죄를 대신하여 죽으시고 다시 살아나셨다는 기쁜 소식)
SP2V021,SP2-023,세세토록 있도다,오래가다. 없어지지 않다
SP2V022,SP2-024,쉬지 말고,"항상, 계속"
SP2V023,SP2-024,하나님의 뜻,하나님이 원하시는 것
SP2V024,SP2-025,마음을 다하여,즐겁고 힘차게
SP2V025,SP2-026,원망,투덜거리거나 칭얼대며 불평하는 것
SP2V026,SP2-026,시비,잘했는지 잘못했는지 다투는 일
