ID,말씀ID,용어,정의
SP3V001,SP3-001,구주,죄와 사망에서 우리를 구원하실 분
SP3V002,SP3-005,율법,하나님의 계명에서 정한 규칙
SP3V003,SP3-005,범하다,불순종하다
SP3V004,SP3-006,구원받다,내가 지은 죄에 대한 벌을 받지 않고 용서받다
SP3V005,SP3-007,세상,모든 사람
SP3V006,SP3-007,독생자,하나 밖에 없는 아들
SP3V007,SP3-007,멸망,하나님으로부터 영원히 분리됨
SP3V008,SP3-007,영생,영원한 생명
SP3V009,SP3-010,정사를 메었고,예수님이 왕으로 세상을 다스리심
SP3V010,SP3-010,기묘자,놀라운 기적을 행하시는 분
SP3V011,SP3-010,모사,올바르고 참된 말을 해 주는 분
SP3V012,SP3-010,영존,영원히 살아계심
SP3V013,SP3-012,금하지 말라,막거나 방해하지 말라
SP3V014,SP3-013,인자,예수 그리스도
SP3V015,SP3-013,잃어버린 자,예수님을 구주로 믿어야 하는 모든 죄인들
SP3V016,SP3-015,확증하다,"보여주다, 증명하다"
SP3V017,SP3-018,구원,죄에 대한 벌에서 영원히 자유로워지는 것
SP3V018,SP3-019,성령,하나님의 영
SP3V019,SP3-019,증인,예수님의 복음을 전하는 사람들
SP3V020,SP3-020,재물,"돈, 음식, 옷, 집 등 값나가는 모든 물건"
SP3V021,SP3-020,궁핍함,몹시 가난함
SP3V022,SP3-021,깨어 있으라,기도할 때 하나님의 응답에 주의를 기울이라
SP3V023,SP3-023,은혜,"우리가 자격이 없는데도 도와주시고, 돌보아주시는 하나님의 사랑"
SP3V024,SP3-023,족하다,충분하다
SP3V025,SP3-025,천사장,천사들의 대장
SP3V026,SP3-025,그리스도 안에서 죽은 자,예수님이 다시 오시기 전에 먼저 죽은 믿음의 사람들
SP3V027,SP3-028,근심하다,걱정하다
SP3V028,SP3-028,거처,살 집
