ID,말씀ID,용어,정의
V001,C1-002,진리,"절대적으로 옳은 것, 하나님의 말씀이 가르치는 내용"
V002,C1-004,진리의 말씀을 옳게 분별하며,성경에서 말하는 내용에 대하여 올바로 이해하고 가르치다
V003,C1-004,힘쓰라,"할 수 있는 한 가장 열심히 일하다, 공부하다, 연구하다"
V004,C1-005,책망하다,"나무라다, 꾸짖다, 바로잡다"
V005,C1-006,교묘히 만든 이야기,"교묘하게 꾸민 신화, 사람들이 억지로 만들어낸 것들"
V006,C1-006,크신 위엄,"전능하신 힘, 능력"
V007,C1-006,친히 본 자,"목격자, 어떤 일이 일어나는 장면을 실제로 지켜본 사람들"
V008,C1-008,전하여준 그대로,"전해들은 대로, 전달받은 대로"
V009,C1-008,내력을 저술하려고,지금까지 일어난 일들을 기록하려고
V010,C1-010,선지자,하나님의 메시지를 선포하는 사람
V011,C1-015,망령되게,헛되이
V012,C1-016,공경,"존경, 특별하게 대우하는 것"
V013,C1-016,간음,결혼한 배우자에게 충실하지 않은 행동
V014,C1-017,탐내다,욕심내다
V015,C1-018,구원하시되,"내가 저지른 죄에 합당한 징벌을 받지 않다, 죄에서 해방되다"
V016,C1-018,긍휼하심,"자비하심, 사랑을 담은 친절"
V017,C1-018,의로운 행위,"착한 행동, 선행"
V018,C1-018,중생의 씻음,주 예수 그리스도의 피로 말미암아 내 죄를 용서받고 내 삶이 정결하게 됨. 새롭게 태어남
V019,C1-020,진실로 진실로,"진정으로, 진심으로"
V020,C1-021,권세,"힘, 권리"
V021,C1-022,앗사리온,아주 적은 액수의 동전
V022,C1-024,확증하셨느니라,"입증하다, 확실히 보여주다"
V023,C1-029,속량(구속),죄에서 벗어나는 것
V024,C1-029,의롭다 하심을 얻어,"의롭다고 선포된, 의인으로 인정된"
V025,C1-031,그의 십자가의 피로,주 예수 그리스도로 말미암아 우리가 하나님과 친구가 되었다
V026,C1-031,화평을 이루다,"평화를 이루다, 화해시키다"
V027,C1-033,너희를 위하여 고난을 받으사,우리를 위하여 십자가 위에서 죽으시므로
V028,C1-033,본,"본받아야 할 인물, 따라야 할 사람"
V029,C1-034,하나님의 역사,성령으로 우리를 주 예수 그리스도 안에 푹 잠기게 만드시는 하나님의 행위와 능력
V030,C1-035,육체의 욕심을 이루다,"육체의 욕망을 채우다, 죄를 짓다"
V031,C1-036,우리를 위하여 친히 간구하시느니라,"우리를 위하여, 그리고 우리와 함께 기도하신다"
V032,C1-036,마땅히,"당연히, 반드시"
V033,C1-036,말할 수 없는 탄식으로,우리는 감히 입에 담기조차 힘겨운 말로
V034,C1-037,근심하게 하지 말라,슬프게 만들지 말라
V035,C1-037,구원의 날,우리가 천국에 들어가는 날
V036,C1-037,인치다,"도장을 찍다, 보전하다, 증명하다"
V037,C1-038,기업의 보증,우리가 완전한 구원을 받을 것이라는 약속의 확실한 증명
V038,C1-038,그 얻으신 것을 속량하시고,하나님의 소유가 된 믿는 자들을 죄로부터 자유롭게 하시고
V039,C1-040,권하노니,부탁하노니
V040,C1-040,부르심을 받은 일,"우리의 구원, 그리스도 안에서 우리의 위치 또는 신분"
V041,C1-040,합당하게 행하여,하나님께서 우리에게 원하시는 대로 살아가다
V042,C1-040,모든 겸손과 온유로,자기보다 다른 사람을 낫게 여기는 겸손한 마음으로
V043,C1-040,오래참음,인내
V044,C1-040,서로 용납하고,서로를 붙잡아 주고
V045,C1-040,힘써 지키라,애써 노력하라
V046,C1-041,더욱 힘써,모든 관심과 노력을 기울여서
V047,C1-041,덕,"선함, 선행"
